topic,title,content,tokens,context
aid-programs,aid-programs 1,"Work-Study 

When you submit a financial aid application to the Office of Financial Aid, you are seeking help with funding your educational expenses. Some forms of funding do not have to be repaid, while student loans require repayment with interest, and work-study requires employment. Exemptions, waivers, and veterans benefits each have application processes outside of the general financial aid application process. The types of aid programs are listed below with more information.
Grants
Grants do not have to be repaid and are usually awarded based on your Expected Family Contribution (EFC), as calculated using the data on your financial aid application, and your financial need, which is determined by subtracting your Expected Family Contribution (EFC) from your estimated cost of attendance at The University of Texas at Dallas.
Student Loans
Student loans are financial aid that you and, in some cases, your parents borrow and repay with interest. Some student loans require that you demonstrate financial need, which is determined by subtracting your Expected Family Contribution (EFC) from your estimated cost of attendance at UT Dallas, but other student loans do not require you to have financial need. There are three major categories of student loans: federal loans, state loans and private loans.
Work-Study
Work-study is a form of financial aid that allows you to work, usually in an on-campus position, to earn the funding offered to you by the Office of Financial Aid. Work-study requires that you demonstrate financial need, which is determined by subtracting your Expected Family Contribution (EFC) from your estimated cost of attendance at UT Dallas. The program encourages community service work and work related to your course of study.
Exemptions and Waivers
Exemptions
Exemption programs provide funding that effectively exempt you from having to pay a portion or all of your tuition or, in some cases, your tuition and fees. Exemption programs are available for certain eligible students who are classified as Texas residents by the Office of the Registrar.
Waivers
Waiver programs are designed to waive the out-of-state portion of your non-resident tuition. Waiver programs are available for certain eligible students who are not classified as Texas residents by the Office of the Registrar.
Veterans Benefits
Veterans Benefits include federal and state funding programs for eligible veterans and service members and, in some cases, their spouses and dependents. Possible funding ranges from tuition and housing assistance to living allowances.

 

 
 

",500,"aid-programs 1
Work-Study 

When you submit a financial aid application to the Office of Financial Aid, you are seeking help with funding your educational expenses. Some forms of funding do not have to be repaid, while student loans require repayment with interest, and work-study requires employment. Exemptions, waivers, and veterans benefits each have application processes outside of the general financial aid application process. The types of aid programs are listed below with more information.
Grants
Grants do not have to be repaid and are usually awarded based on your Expected Family Contribution (EFC), as calculated using the data on your financial aid application, and your financial need, which is determined by subtracting your Expected Family Contribution (EFC) from your estimated cost of attendance at The University of Texas at Dallas.
Student Loans
Student loans are financial aid that you and, in some cases, your parents borrow and repay with interest. Some student loans require that you demonstrate financial need, which is determined by subtracting your Expected Family Contribution (EFC) from your estimated cost of attendance at UT Dallas, but other student loans do not require you to have financial need. There are three major categories of student loans: federal loans, state loans and private loans.
Work-Study
Work-study is a form of financial aid that allows you to work, usually in an on-campus position, to earn the funding offered to you by the Office of Financial Aid. Work-study requires that you demonstrate financial need, which is determined by subtracting your Expected Family Contribution (EFC) from your estimated cost of attendance at UT Dallas. The program encourages community service work and work related to your course of study.
Exemptions and Waivers
Exemptions
Exemption programs provide funding that effectively exempt you from having to pay a portion or all of your tuition or, in some cases, your tuition and fees. Exemption programs are available for certain eligible students who are classified as Texas residents by the Office of the Registrar.
Waivers
Waiver programs are designed to waive the out-of-state portion of your non-resident tuition. Waiver programs are available for certain eligible students who are not classified as Texas residents by the Office of the Registrar.
Veterans Benefits
Veterans Benefits include federal and state funding programs for eligible veterans and service members and, in some cases, their spouses and dependents. Possible funding ranges from tuition and housing assistance to living allowances.

 

 
 

"
aid-programs,aid-programs 2," housing assistance to living allowances.

 

 
 

",13,"aid-programs 2
 housing assistance to living allowances.

 

 
 

"
aid-programs,aid-programs exemptions-and-waivers 1,"Exemptions and Waivers
An exemption is a type of financial assistance that exempts certain Texas residents from the payment of partial or full tuition and, in some cases, mandatory fees. A waiver is a type of financial assistance that allows certain nonresidents of Texas to pay the in-state tuition rate.
In order to qualify for many of the tuition and/or fee exemptions or waivers, students must be enrolled in a UT Dallas academic program that is funded by the state of Texas. Undergraduate students must maintain a 2.0 cumulative GPA, and graduate students must maintain a 3.0 cumulative GPA. Additionally, resident undergraduate students must not be subject to the fee for excessive hours, as determined by the Office of the Registrar in accordance with Texas Education Code § 54.014. The review of eligibility for state exemptions and waivers is performed on a term basis and does not result in a warning or probation term. Students who do not meet these criteria and who have extenuating circumstances may appeal using the appeal form(pdf).
Tuition Exemptions
 
 

",221,"aid-programs exemptions-and-waivers 1
Exemptions and Waivers
An exemption is a type of financial assistance that exempts certain Texas residents from the payment of partial or full tuition and, in some cases, mandatory fees. A waiver is a type of financial assistance that allows certain nonresidents of Texas to pay the in-state tuition rate.
In order to qualify for many of the tuition and/or fee exemptions or waivers, students must be enrolled in a UT Dallas academic program that is funded by the state of Texas. Undergraduate students must maintain a 2.0 cumulative GPA, and graduate students must maintain a 3.0 cumulative GPA. Additionally, resident undergraduate students must not be subject to the fee for excessive hours, as determined by the Office of the Registrar in accordance with Texas Education Code § 54.014. The review of eligibility for state exemptions and waivers is performed on a term basis and does not result in a warning or probation term. Students who do not meet these criteria and who have extenuating circumstances may appeal using the appeal form(pdf).
Tuition Exemptions
 
 

"
aid-programs,aid-programs exemptions-and-waivers academic-common-market 1,"Veteran Exemptions and Waivers
Veteran Benefits Forms

Texas is one of sixteen states participating in the Academic Common Market (ACM), an interstate agreement for sharing state-supported graduate programs. Residents of member states who are accepted for admission into selected out-of-state graduate programs may enroll on an in-state rather than out-of-state tuition basis. Programs are selected by the states annually. Information about UT Dallas graduate programs selected for the ACM by other states is available from the Office of the Dean of Graduate Studies.
For residents of Texas looking to study out-of-state, the first step is to confirm that a comparable program at the same graduate degree level is not being offered at a Texas public university. For a listing of these programs, or for more information, visit the Texas Higher Education Coordinating Board Degree Board Program Search web site or email the ACM Coordinator or call at 512-427-6518. A number of programs are available at in-state tuition rates (those in-state rates applicable to the out-of-state where the graduate program is offered).
To apply for admittance into an ACM program, send a certification of Texas residency and a copy of the out-of-state university’s unconditional acceptance letter into the graduate program, and mail to:
Academic Common Market Coordinator Academic Affairs Texas Higher Education Coordinating Board P.O. Box 12788 Austin, TX 78711 512-427-6518
For out-of-state residents looking to study in Texas, please contact the ACM coordinator at your home institution or home state. The contact information for each participating state can be found on the Southern Regional Education Board web site.",350,"aid-programs exemptions-and-waivers academic-common-market 1
Veteran Exemptions and Waivers
Veteran Benefits Forms

Texas is one of sixteen states participating in the Academic Common Market (ACM), an interstate agreement for sharing state-supported graduate programs. Residents of member states who are accepted for admission into selected out-of-state graduate programs may enroll on an in-state rather than out-of-state tuition basis. Programs are selected by the states annually. Information about UT Dallas graduate programs selected for the ACM by other states is available from the Office of the Dean of Graduate Studies.
For residents of Texas looking to study out-of-state, the first step is to confirm that a comparable program at the same graduate degree level is not being offered at a Texas public university. For a listing of these programs, or for more information, visit the Texas Higher Education Coordinating Board Degree Board Program Search web site or email the ACM Coordinator or call at 512-427-6518. A number of programs are available at in-state tuition rates (those in-state rates applicable to the out-of-state where the graduate program is offered).
To apply for admittance into an ACM program, send a certification of Texas residency and a copy of the out-of-state university’s unconditional acceptance letter into the graduate program, and mail to:
Academic Common Market Coordinator Academic Affairs Texas Higher Education Coordinating Board P.O. Box 12788 Austin, TX 78711 512-427-6518
For out-of-state residents looking to study in Texas, please contact the ACM coordinator at your home institution or home state. The contact information for each participating state can be found on the Southern Regional Education Board web site."
aid-programs,aid-programs exemptions-and-waivers adopted-formerly-in-foster-care 1,"Veteran Exemptions and Waivers
Veteran Benefits Forms

The purpose of this program is to provide financial assistance to students who once were in foster or other residential care and have been adopted. The exemption covers the tuition and fees for courses for which UT Dallas receives state tax support.
In order to be eligible for the exemption, you must have been:

In foster or other residential care.
Adopted.
The subject of an adoption assistance agreement under Subchapter D, Chapter 162 of the Texas Family Code.

Provide the Office of Financial Aid with written proof of eligibility from the Texas Department of Family and Protective Services (TDFPS). To obtain a letter of eligibility from TDFPS, contact a representative in one of the district offices:

Adoption and Foster Care
Preparation for Adult Living (PAL)

Contact the Department of Family and Protective Services or your adoption assistance case worker for additional information.
Per House Bill 452, 82nd Legislature, assistance locating temporary housing between academic terms (fall, spring, and summer) may be available to eligible students who were in foster care on the day preceding their eighteenth birthday and who were enrolled full-time at a public institution in the previous term and are registered or committed to enrolling full-time at a public institution in the subsequent term.",274,"aid-programs exemptions-and-waivers adopted-formerly-in-foster-care 1
Veteran Exemptions and Waivers
Veteran Benefits Forms

The purpose of this program is to provide financial assistance to students who once were in foster or other residential care and have been adopted. The exemption covers the tuition and fees for courses for which UT Dallas receives state tax support.
In order to be eligible for the exemption, you must have been:

In foster or other residential care.
Adopted.
The subject of an adoption assistance agreement under Subchapter D, Chapter 162 of the Texas Family Code.

Provide the Office of Financial Aid with written proof of eligibility from the Texas Department of Family and Protective Services (TDFPS). To obtain a letter of eligibility from TDFPS, contact a representative in one of the district offices:

Adoption and Foster Care
Preparation for Adult Living (PAL)

Contact the Department of Family and Protective Services or your adoption assistance case worker for additional information.
Per House Bill 452, 82nd Legislature, assistance locating temporary housing between academic terms (fall, spring, and summer) may be available to eligible students who were in foster care on the day preceding their eighteenth birthday and who were enrolled full-time at a public institution in the previous term and are registered or committed to enrolling full-time at a public institution in the subsequent term."
aid-programs,aid-programs exemptions-and-waivers blinddeaf-students 1,"Veteran Exemptions and Waivers
Veteran Benefits Forms

The purpose of this program is to help enable blind and deaf students to attend public colleges or universities in the state of Texas. The exemption covers all dues, fees, and enrollment charges whatsoever for which exemptions may be lawfully made, including fees for correspondence courses, general property deposit fees, and student service fees (with the exception of fees or charges for lodging, board, or clothing). No funds may be used to pay tuition for continuing education classes for which UT Dallas receives no state tax support.
In order to be eligible for the exemption, you must:

Be a Texas resident.
Declare a program of study at the time you apply for the exemption.
Provide certification from the Department of Assistive and Rehabilitative Services of your status as a blind or deaf person.
Enroll in courses for which UT Dallas receives state tax support (i.e., a course that does not depend solely on student tuition and fees to cover its costs).

Additionally, undergraduate students must maintain a 2.0 cumulative GPA and must not be subject to the fee for excessive hours, as determined by the Office of the Registrar. Graduate students must maintain a 3.0 cumulative GPA.
To apply for the exemption, you must provide the Office of Financial Aid with the following:

Certification from the Department of Assistive and Rehabilitative Services of your status as a blind or deaf person
A written statement of purpose indicating which certificate, degree program, or professional enhancement will be pursued
A copy of your high school transcript
A letter of recommendation from your high school principal, a public official, or some other responsible person who knows you and is willing to serve as a reference
Proof that all admissions requirements have been met",365,"aid-programs exemptions-and-waivers blinddeaf-students 1
Veteran Exemptions and Waivers
Veteran Benefits Forms

The purpose of this program is to help enable blind and deaf students to attend public colleges or universities in the state of Texas. The exemption covers all dues, fees, and enrollment charges whatsoever for which exemptions may be lawfully made, including fees for correspondence courses, general property deposit fees, and student service fees (with the exception of fees or charges for lodging, board, or clothing). No funds may be used to pay tuition for continuing education classes for which UT Dallas receives no state tax support.
In order to be eligible for the exemption, you must:

Be a Texas resident.
Declare a program of study at the time you apply for the exemption.
Provide certification from the Department of Assistive and Rehabilitative Services of your status as a blind or deaf person.
Enroll in courses for which UT Dallas receives state tax support (i.e., a course that does not depend solely on student tuition and fees to cover its costs).

Additionally, undergraduate students must maintain a 2.0 cumulative GPA and must not be subject to the fee for excessive hours, as determined by the Office of the Registrar. Graduate students must maintain a 3.0 cumulative GPA.
To apply for the exemption, you must provide the Office of Financial Aid with the following:

Certification from the Department of Assistive and Rehabilitative Services of your status as a blind or deaf person
A written statement of purpose indicating which certificate, degree program, or professional enhancement will be pursued
A copy of your high school transcript
A letter of recommendation from your high school principal, a public official, or some other responsible person who knows you and is willing to serve as a reference
Proof that all admissions requirements have been met"
aid-programs,aid-programs exemptions-and-waivers bordering-states 1,"Veteran Exemptions and Waivers
Veteran Benefits Forms

The purpose of this program is to provide reduced tuition rate for individuals who are residents of states other than Texas who enroll in certain public universities in Texas. At UT Dallas, the waiver allows students who are residents of Oklahoma to pay the in-state tuition cost plus $30 per credit hour.
In order to be eligible for the waiver at UT Dallas, you must be an Oklahoma resident working on your first bachelor’s degree or your graduate degree. If you maintain Oklahoma residency, you can use the waiver until you graduate with your first bachelor’s degree or your graduate degree. To be considered for the waiver, contact the Office of Financial Aid regarding proof of your Oklahoma residency.
",154,"aid-programs exemptions-and-waivers bordering-states 1
Veteran Exemptions and Waivers
Veteran Benefits Forms

The purpose of this program is to provide reduced tuition rate for individuals who are residents of states other than Texas who enroll in certain public universities in Texas. At UT Dallas, the waiver allows students who are residents of Oklahoma to pay the in-state tuition cost plus $30 per credit hour.
In order to be eligible for the waiver at UT Dallas, you must be an Oklahoma resident working on your first bachelor’s degree or your graduate degree. If you maintain Oklahoma residency, you can use the waiver until you graduate with your first bachelor’s degree or your graduate degree. To be considered for the waiver, contact the Office of Financial Aid regarding proof of your Oklahoma residency.
"
aid-programs,aid-programs exemptions-and-waivers children-of-disabled-firepeace-officers 1,"Veteran Exemptions and Waivers
Veteran Benefits Forms

The purpose of the program is to provide a benefit to the children of eligible persons who have been killed in the line of duty prior to September 1, 2000, or who have been disabled in the line of duty. Through this program, you may receive an exemption from the payment of tuition and fees only for the first 120 undergraduate semester credit hours for which you register or until age 26, whichever comes first. No funds may be used to pay tuition for continuing education courses for which UT Dallas receives no state tax support.
In order to be eligible for the exemption, you must:

Apply before your 21st birthday, or if you are eligible to participate in a school district’s special education program, apply before your 22nd birthday.
Have had a parent who was a paid or volunteer firefighter, paid municipal, county, or state peace officer, or a custodial employee of the Texas Department of Corrections, or a game warden.
Be the child of a parent who suffered an injury, resulting in disability or death, sustained in the line of duty.
Enroll in classes for which UT Dallas receives state tax support (i.e., a course that does not depend solely on student tuition and fees to cover its costs).

Additionally, undergraduate students must maintain a 2.0 cumulative GPA and must not be subject to the fee for excessive hours, as determined by the Office of the Registrar. Graduate students must maintain a 3.0 cumulative GPA.
To apply for the exemption, you must:

Obtain a sample letter from the Texas Higher Education Coordinating Board.
Have your parent’s prior employer complete the sample letter on official letterhead.
Submit the letter to the Texas Higher Education Coordinating Board.

In the case of a disability, also submit to the Texas Higher Education Coordinating Board a doctor’s statement that certifies the disability.

The Texas Higher Education Coordinating Board will notify UT Dallas of your eligibility.",417,"aid-programs exemptions-and-waivers children-of-disabled-firepeace-officers 1
Veteran Exemptions and Waivers
Veteran Benefits Forms

The purpose of the program is to provide a benefit to the children of eligible persons who have been killed in the line of duty prior to September 1, 2000, or who have been disabled in the line of duty. Through this program, you may receive an exemption from the payment of tuition and fees only for the first 120 undergraduate semester credit hours for which you register or until age 26, whichever comes first. No funds may be used to pay tuition for continuing education courses for which UT Dallas receives no state tax support.
In order to be eligible for the exemption, you must:

Apply before your 21st birthday, or if you are eligible to participate in a school district’s special education program, apply before your 22nd birthday.
Have had a parent who was a paid or volunteer firefighter, paid municipal, county, or state peace officer, or a custodial employee of the Texas Department of Corrections, or a game warden.
Be the child of a parent who suffered an injury, resulting in disability or death, sustained in the line of duty.
Enroll in classes for which UT Dallas receives state tax support (i.e., a course that does not depend solely on student tuition and fees to cover its costs).

Additionally, undergraduate students must maintain a 2.0 cumulative GPA and must not be subject to the fee for excessive hours, as determined by the Office of the Registrar. Graduate students must maintain a 3.0 cumulative GPA.
To apply for the exemption, you must:

Obtain a sample letter from the Texas Higher Education Coordinating Board.
Have your parent’s prior employer complete the sample letter on official letterhead.
Submit the letter to the Texas Higher Education Coordinating Board.

In the case of a disability, also submit to the Texas Higher Education Coordinating Board a doctor’s statement that certifies the disability.

The Texas Higher Education Coordinating Board will notify UT Dallas of your eligibility."
aid-programs,aid-programs exemptions-and-waivers children-of-powmias 1,"Veteran Exemptions and Waivers
Veteran Benefits Forms

The purpose of this program is to provide an education benefit to the children of persons listed as missing in action or prisoners of war by the U.S. Department of Defense.
In order to be eligible for the exemption, you must:

Be a Texas resident.
Be 21 years of age or younger, or 25 years of age or younger and receiving most of your support from a parent.
Have documentation from the Department of Defense that your parent, who is classified as a Texas resident, is missing in action or a prisoner of war.
Enroll in courses for which UT Dallas receives tax support (i.e., a course that does not depend solely on student tuition and fees to cover its costs).

Additionally, undergraduate students must maintain a 2.0 cumulative GPA and must not be subject to the fee for excessive hours, as determined by the Office of the Registrar.
The exemption covers tuition, service fees, lab fees, building use fees, and all other fees with the exception of room, board or clothing fees, or deposits in the nature of security for the return or proper care of property. No funds may be used to pay tuition for continuing education courses for which UT Dallas receives no state tax support.
Email the Office of Financial Aid for additional information, including how to apply for the exemption.",283,"aid-programs exemptions-and-waivers children-of-powmias 1
Veteran Exemptions and Waivers
Veteran Benefits Forms

The purpose of this program is to provide an education benefit to the children of persons listed as missing in action or prisoners of war by the U.S. Department of Defense.
In order to be eligible for the exemption, you must:

Be a Texas resident.
Be 21 years of age or younger, or 25 years of age or younger and receiving most of your support from a parent.
Have documentation from the Department of Defense that your parent, who is classified as a Texas resident, is missing in action or a prisoner of war.
Enroll in courses for which UT Dallas receives tax support (i.e., a course that does not depend solely on student tuition and fees to cover its costs).

Additionally, undergraduate students must maintain a 2.0 cumulative GPA and must not be subject to the fee for excessive hours, as determined by the Office of the Registrar.
The exemption covers tuition, service fees, lab fees, building use fees, and all other fees with the exception of room, board or clothing fees, or deposits in the nature of security for the return or proper care of property. No funds may be used to pay tuition for continuing education courses for which UT Dallas receives no state tax support.
Email the Office of Financial Aid for additional information, including how to apply for the exemption."
aid-programs,aid-programs exemptions-and-waivers citizens-of-mexico-with-need 1,"Veteran Exemptions and Waivers
Veteran Benefits Forms

The purpose of this program is to permit a small number of individuals who are citizens of Mexico and who have financial need to enroll in any public university in Texas while paying the resident tuition rate.
In order to be eligible for the waiver, you must:

Be a citizen of Mexico and reside in Mexico.
Demonstrate financial need.

Applications must be completed online via the International Students and Scholars Office website.",100,"aid-programs exemptions-and-waivers citizens-of-mexico-with-need 1
Veteran Exemptions and Waivers
Veteran Benefits Forms

The purpose of this program is to permit a small number of individuals who are citizens of Mexico and who have financial need to enroll in any public university in Texas while paying the resident tuition rate.
In order to be eligible for the waiver, you must:

Be a citizen of Mexico and reside in Mexico.
Demonstrate financial need.

Applications must be completed online via the International Students and Scholars Office website."
